,TOP_RGB,BOTTOM_RGB,path
553,"(90, 52, 66)","(64, 59, 72)",amecaji_images/10_22.webp
554,"(117, 95, 98)","(125, 121, 133)",amecaji_images/10_23.webp
555,"(70, 80, 105)","(81, 92, 114)",amecaji_images/10_24.webp
556,"(63, 65, 74)","(125, 129, 133)",amecaji_images/10_25.webp
557,"(67, 60, 59)","(65, 75, 93)",amecaji_images/10_26.webp
558,"(118, 140, 169)","(122, 135, 162)",amecaji_images/10_27.webp
559,"(129, 117, 107)","(96, 92, 84)",amecaji_images/10_28.webp
561,"(60, 87, 131)","(89, 136, 179)",amecaji_images/10_30.webp
562,"(61, 60, 54)","(163, 131, 96)",amecaji_images/10_31.webp
563,"(99, 102, 91)","(107, 97, 88)",amecaji_images/10_32.webp
564,"(21, 45, 76)","(135, 105, 85)",amecaji_images/10_34.webp
565,"(76, 81, 94)","(68, 74, 88)",amecaji_images/10_35.webp
566,"(80, 84, 105)","(49, 52, 69)",amecaji_images/10_36.webp
567,"(39, 38, 41)","(30, 30, 33)",amecaji_images/10_37.webp
568,"(52, 56, 62)","(66, 66, 71)",amecaji_images/10_38.webp
569,"(60, 70, 68)","(46, 52, 54)",amecaji_images/10_39.webp
570,"(114, 76, 48)","(143, 114, 94)",amecaji_images/10_40.webp
571,"(111, 101, 97)","(174, 153, 132)",amecaji_images/10_41.webp
572,"(46, 67, 96)","(68, 74, 95)",amecaji_images/10_42.webp
573,"(80, 71, 74)","(45, 84, 137)",amecaji_images/10_43.webp
574,"(56, 56, 60)","(47, 46, 47)",amecaji_images/10_44.webp
575,"(93, 88, 93)","(94, 88, 91)",amecaji_images/10_45.webp
576,"(55, 74, 104)","(89, 103, 123)",amecaji_images/10_46.webp
577,"(91, 106, 135)","(140, 156, 188)",amecaji_images/10_47.webp
578,"(109, 97, 95)","(147, 143, 151)",amecaji_images/10_48.webp
579,"(92, 92, 104)","(78, 119, 156)",amecaji_images/10_49.webp
580,"(75, 76, 87)","(75, 79, 89)",amecaji_images/10_50.webp
581,"(87, 107, 141)","(97, 106, 131)",amecaji_images/10_51.webp
582,"(77, 71, 70)","(105, 97, 104)",amecaji_images/10_52.webp
583,"(49, 52, 65)","(84, 81, 87)",amecaji_images/10_53.webp
584,"(49, 53, 62)","(92, 82, 78)",amecaji_images/10_54.webp
